EDUCATION,SOUTH,SEX,EXPERIENCE,UNION,WAGE,AGE,RACE,OCCUPATION,SECTOR,MARR
12,0,0,11,0,12.5,29,3,6,2,0
12,0,0,40,1,15,58,3,6,2,1
12,0,0,8,0,6,26,3,6,2,0
11,1,0,29,0,9.5,46,3,6,2,1
16,0,0,3,1,5,25,3,6,0,0
11,0,0,11,0,3.75,28,3,6,2,0
12,0,0,12,1,12.57,30,3,6,0,1
8,0,1,22,0,6.88,36,2,6,0,1
12,0,0,12,0,5.5,30,3,6,0,1
12,0,0,7,1,7,25,3,6,0,1
12,0,1,15,0,4.5,33,3,6,1,0
12,0,0,28,0,6.5,46,3,6,0,1
12,1,0,20,1,12,38,3,6,1,1
12,1,0,6,0,5,24,3,6,2,0
12,1,0,5,0,6.5,23,3,6,1,0
9,1,1,30,0,6.8,45,3,6,1,1
13,0,0,18,0,8.75,37,3,6,0,1
12,1,1,6,0,3.75,24,1,6,1,1
12,1,0,16,0,4.5,34,2,6,0,0
12,1,0,1,1,6,19,2,6,0,0
12,0,0,3,0,5.5,21,3,6,1,0
12,0,0,8,0,13,26,3,6,0,1
14,0,0,2,0,5.65,22,3,6,1,0
9,0,0,16,0,4.8,31,1,6,1,0
10,1,0,9,0,7,25,3,6,2,1
12,0,0,2,0,5.25,20,3,6,0,0
7,1,0,43,0,3.35,56,3,6,1,1
9,0,0,38,0,8.5,53,3,6,1,1
12,0,0,9,0,6,27,3,6,0,1
12,1,0,12,0,6.75,30,3,6,0,1
12,0,0,18,0,8.89,36,3,6,1,1
11,0,0,15,1,14.21,32,3,6,1,0
11,1,0,28,1,10.78,45,1,6,2,1
10,1,0,27,1,8.9,43,3,6,2,1
12,1,0,38,0,7.5,56,3,6,0,1
12,0,1,3,0,4.5,21,3,6,1,0
12,0,0,41,1,11.25,59,3,6,0,1
12,1,0,16,1,13.45,34,3,6,0,1
13,1,0,7,0,6,26,3,6,1,1
6,1,1,33,0,4.62,45,1,6,1,0
14,0,0,25,0,10.58,45,3,6,1,1
12,1,0,5,0,5,23,3,6,0,1
14,1,0,17,0,8.2,37,1,6,0,0
12,1,0,1,0,6.25,19,3,6,0,0
12,0,0,13,0,8.5,31,3,6,1,1
16,0,0,18,0,24.98,40,3,1,0,1
14,1,0,21,0,16.65,41,3,1,0,1
14,0,0,2,0,6.25,22,3,1,0,0
12,1,1,4,0,4.55,22,2,1,0,0
12,1,1,30,0,11.25,48,2,1,0,1
13,0,0,32,0,21.25,51,3,1,0,0
17,0,1,13,0,12.65,36,3,1,0,1
12,0,0,17,0,7.5,35,3,1,0,0
14,0,1,26,0,10.25,46,3,1,0,1
16,0,0,9,0,3.35,31,3,1,0,0
16,0,0,8,0,13.45,30,1,1,0,0
15,0,0,1,1,4.84,22,3,1,0,1
17,1,0,32,0,26.29,55,3,1,0,1
12,0,1,24,0,6.58,42,3,1,0,1
14,0,1,1,0,44.5,21,3,1,0,0
12,0,0,42,0,15,60,3,1,1,1
16,0,1,3,0,11.25,25,1,1,1,0
12,0,1,32,0,7,50,3,1,0,1
14,0,0,22,0,10,42,1,1,0,0
16,0,0,18,0,14.53,40,3,1,0,1
18,0,1,19,0,20,43,3,1,0,1
15,0,0,12,0,22.5,33,3,1,0,1
12,0,1,42,0,3.64,60,3,1,0,1
12,1,0,34,0,10.62,52,3,1,0,1
18,0,0,29,0,24.98,53,3,1,0,1
16,1,0,8,0,6,30,3,1,0,0
18,0,0,13,0,19,37,3,1,1,0
16,0,0,10,0,13.2,32,3,1,0,0
16,0,0,22,0,22.5,44,3,1,0,1
16,1,0,10,0,15,32,3,1,0,1
17,0,1,15,0,6.88,38,3,1,0,1
12,0,0,26,0,11.84,44,3,1,0,1
14,0,0,16,0,16.14,36,3,1,0,0
18,0,1,14,0,13.95,38,3,1,0,1
12,0,1,38,0,13.16,56,3,1,0,1
12,1,0,14,0,5.3,32,1,1,0,1
12,0,1,7,0,4.5,25,3,1,0,1
18,1,1,13,0,10,37,3,1,0,0
10,0,0,20,0,10,36,3,1,0,1
16,0,0,7,1,10,29,2,1,0,1
16,0,1,26,0,9.37,48,3,1,0,1
16,0,0,14,0,5.8,36,3,1,0,1
13,0,0,36,0,17.86,55,3,1,0,0
12,0,0,24,0,1,42,3,1,0,1
14,1,0,41,0,8.8,61,3,1,0,1
16,0,0,7,0,9,29,1,1,0,1
17,1,0,14,0,18.16,37,3,1,0,0
12,1,1,1,0,7.81,19,3,1,0,0
16,0,1,6,0,10.62,28,3,1,1,1
12,0,1,3,0,4.5,21,3,1,0,1
15,0,0,31,0,17.25,52,3,1,0,1
13,0,1,14,0,10.5,33,3,1,1,1
14,0,1,13,0,9.22,33,3,1,0,1
16,0,0,26,1,15,48,1,1,1,1
18,0,0,14,0,22.5,38,3,1,0,1
13,0,1,33,0,4.55,52,3,2,0,1
12,0,0,16,0,9,34,3,2,0,1
18,0,0,10,0,13.33,34,3,2,0,1
14,0,0,22,0,15,42,3,2,0,0
14,0,0,2,0,7.5,22,3,2,0,0
12,1,1,29,0,4.25,47,3,2,0,1
12,0,0,43,0,12.5,61,3,2,1,1
12,0,1,5,0,5.13,23,3,2,0,1
16,1,1,14,0,3.35,36,1,2,0,1
12,1,0,28,0,11.11,46,3,2,0,1
11,1,1,25,0,3.84,42,1,2,0,1
12,0,1,45,0,6.4,63,3,2,0,1
14,1,0,5,0,5.56,25,3,2,0,0
12,1,0,20,0,10,38,3,2,1,1
16,0,1,6,0,5.65,28,3,2,0,1
16,0,0,16,0,11.5,38,3,2,0,1
11,0,1,33,0,3.5,50,3,2,0,1
13,1,1,2,0,3.35,21,3,2,0,1
12,1,1,10,0,4.75,28,3,2,0,0
14,1,0,44,0,19.98,64,3,2,0,1
14,1,1,6,0,3.5,26,3,2,0,1
12,0,1,15,0,4,33,3,2,0,0
12,0,0,5,0,7,23,3,2,0,1
13,0,1,4,0,6.25,23,3,2,1,1
14,0,0,14,0,4.5,34,3,2,0,1
14,0,1,32,0,14.29,52,3,2,0,1
12,0,1,14,0,5,32,3,2,0,1
14,0,0,21,0,13.75,41,3,2,0,1
12,0,0,43,1,13.71,61,3,2,0,1
12,1,1,27,0,7.5,45,1,2,0,1
12,0,1,4,0,3.8,22,3,2,0,0
14,0,0,0,0,5,20,2,2,0,0
12,1,0,32,0,9.42,50,3,2,0,1
12,0,0,20,0,5.5,38,3,2,0,1
15,1,0,4,0,3.75,25,3,2,0,0
12,0,0,34,0,3.5,52,3,2,0,1
13,0,0,5,0,5.8,24,3,2,0,0
17,0,0,13,0,12,36,3,2,1,1
